stat,_id,reading,ts,user
footprint.optimal.no_air,5481824a88f663769f32d96e,0.0,1417773642.83,8e230f78-6e37-3588-bf2c-6888a5b63c82
footprint.alldrive,5481824a88f663769f32d96f,0.0,1417773642.83,8e230f78-6e37-3588-bf2c-6888a5b63c82
footprint.mean,5481824a88f663769f32d970,16.3689600878,1417773642.83,8e230f78-6e37-3588-bf2c-6888a5b63c82
footprint.mean.no_air,5481824a88f663769f32d971,16.3689600878,1417773642.83,8e230f78-6e37-3588-bf2c-6888a5b63c82
footprint.my_carbon,5481825188f663769f32d972,0.0,1417773649.59,527e98f8-710d-3719-93f2-ab140d1439ba
footprint.my_carbon.no_air,5481825188f663769f32d973,0.0,1417773649.59,527e98f8-710d-3719-93f2-ab140d1439ba
footprint.optimal,5481825188f663769f32d974,0.0,1417773649.59,527e98f8-710d-3719-93f2-ab140d1439ba
footprint.optimal.no_air,5481825188f663769f32d975,0.0,1417773649.59,527e98f8-710d-3719-93f2-ab140d1439ba
footprint.alldrive,5481825188f663769f32d976,0.0,1417773649.59,527e98f8-710d-3719-93f2-ab140d1439ba
footprint.mean,5481825188f663769f32d977,16.3689600878,1417773649.59,527e98f8-710d-3719-93f2-ab140d1439ba
footprint.mean.no_air,5481825188f663769f32d978,16.3689600878,1417773649.59,527e98f8-710d-3719-93f2-ab140d1439ba
footprint.my_carbon,5481825888f663769f32d979,5.74943380982,1417773656.33,89e30222-b446-30ad-852c-b305ddafe70d
footprint.my_carbon.no_air,5481825888f663769f32d97a,5.74943380982,1417773656.33,89e30222-b446-30ad-852c-b305ddafe70d
footprint.optimal,5481825888f663769f32d97b,1.14957116221,1417773656.33,89e30222-b446-30ad-852c-b305ddafe70d
footprint.optimal.no_air,5481825888f663769f32d97c,1.14957116221,1417773656.33,89e30222-b446-30ad-852c-b305ddafe70d
footprint.alldrive,5481825888f663769f32d97d,13.6484350528,1417773656.33,89e30222-b446-30ad-852c-b305ddafe70d
footprint.mean,5481825888f663769f32d97e,16.3689600878,1417773656.33,89e30222-b446-30ad-852c-b305ddafe70d
footprint.mean.no_air,5481825888f663769f32d97f,16.3689600878,1417773656.33,89e30222-b446-30ad-852c-b305ddafe70d
footprint.my_carbon,5481825f88f663769f32d980,0.0,1417773663.07,993f14f0-79f0-33fa-bdbc-049b88056fbf
footprint.my_carbon.no_air,5481825f88f663769f32d981,0.0,1417773663.07,993f14f0-79f0-33fa-bdbc-049b88056fbf
footprint.optimal,5481825f88f663769f32d982,0.0,1417773663.07,993f14f0-79f0-33fa-bdbc-049b88056fbf
footprint.optimal.no_air,5481825f88f663769f32d983,0.0,1417773663.07,993f14f0-79f0-33fa-bdbc-049b88056fbf
footprint.alldrive,5481825f88f663769f32d984,0.0,1417773663.07,993f14f0-79f0-33fa-bdbc-049b88056fbf
footprint.mean,5481825f88f663769f32d985,16.3689600878,1417773663.07,993f14f0-79f0-33fa-bdbc-049b88056fbf
footprint.mean.no_air,5481825f88f663769f32d986,16.3689600878,1417773663.07,993f14f0-79f0-33fa-bdbc-049b88056fbf
footprint.my_carbon,5481826588f663769f32d987,8.19400248602,1417773669.82,f4254389-3592-3cd5-b206-462fb6eaa7b5
footprint.my_carbon.no_air,5481826588f663769f32d988,8.19400248602,1417773669.82,f4254389-3592-3cd5-b206-462fb6eaa7b5
footprint.optimal,5481826588f663769f32d989,1.16809695463,1417773669.82,f4254389-3592-3cd5-b206-462fb6eaa7b5
footprint.optimal.no_air,5481826588f663769f32d98a,1.16809695463,1417773669.82,f4254389-3592-3cd5-b206-462fb6eaa7b5
footprint.alldrive,5481826588f663769f32d98b,14.1659055314,1417773669.82,f4254389-3592-3cd5-b206-462fb6eaa7b5
footprint.mean,5481826588f663769f32d98c,16.3689600878,1417773669.82,f4254389-3592-3cd5-b206-462fb6eaa7b5
footprint.mean.no_air,5481826588f663769f32d98d,16.3689600878,1417773669.82,f4254389-3592-3cd5-b206-462fb6eaa7b5
footprint.my_carbon,5481826c88f663769f32d98e,0.0,1417773676.57,01477d94-e0bb-3903-a428-338551801391
footprint.my_carbon.no_air,5481826c88f663769f32d98f,0.0,1417773676.57,01477d94-e0bb-3903-a428-338551801391
footprint.optimal,5481826c88f663769f32d990,0.0,1417773676.57,01477d94-e0bb-3903-a428-338551801391
footprint.optimal.no_air,5481826c88f663769f32d991,0.0,1417773676.57,01477d94-e0bb-3903-a428-338551801391
footprint.alldrive,5481826c88f663769f32d992,0.0,1417773676.57,01477d94-e0bb-3903-a428-338551801391
footprint.mean,5481826c88f663769f32d993,16.3689600878,1417773676.57,01477d94-e0bb-3903-a428-338551801391
footprint.mean.no_air,5481826c88f663769f32d994,16.3689600878,1417773676.57,01477d94-e0bb-3903-a428-338551801391
footprint.my_carbon,5481827388f663769f32d995,0.0,1417773683.34,cb8009c5-267c-37c4-b55b-4889e02c431e
footprint.my_carbon.no_air,5481827388f663769f32d996,0.0,1417773683.34,cb8009c5-267c-37c4-b55b-4889e02c431e
footprint.optimal,5481827388f663769f32d997,0.0,1417773683.34,cb8009c5-267c-37c4-b55b-4889e02c431e
footprint.optimal.no_air,5481827388f663769f32d998,0.0,1417773683.34,cb8009c5-267c-37c4-b55b-4889e02c431e
footprint.alldrive,5481827388f663769f32d999,0.0,1417773683.34,cb8009c5-267c-37c4-b55b-4889e02c431e
footprint.mean,5481827388f663769f32d99a,16.3689600878,1417773683.34,cb8009c5-267c-37c4-b55b-4889e02c431e
footprint.mean.no_air,5481827388f663769f32d99b,16.3689600878,1417773683.34,cb8009c5-267c-37c4-b55b-4889e02c431e
game.score,5481827a88f663769f32d99c,2.48990066086,1417773690.3,b0d937d0-70ef-305e-9563-440369012b39
footprint.my_carbon,5481828188f663769f32d99d,31.7101417029,1417773697.08,b0d937d0-70ef-305e-9563-440369012b39
footprint.my_carbon.no_air,5481828188f663769f32d99e,31.7101417029,1417773697.08,b0d937d0-70ef-305e-9563-440369012b39
footprint.optimal,5481828188f663769f32d99f,9.39514978247,1417773697.08,b0d937d0-70ef-305e-9563-440369012b39
footprint.optimal.no_air,5481828188f663769f32d9a0,9.39514978247,1417773697.08,b0d937d0-70ef-305e-9563-440369012b39
footprint.alldrive,5481828188f663769f32d9a1,31.7524723431,1417773697.08,b0d937d0-70ef-305e-9563-440369012b39
footprint.mean,5481828188f663769f32d9a2,16.3689600878,1417773697.08,b0d937d0-70ef-305e-9563-440369012b39
footprint.mean.no_air,5481828188f663769f32d9a3,16.3689600878,1417773697.08,b0d937d0-70ef-305e-9563-440369012b39
footprint.my_carbon,5481828788f663769f32d9a4,0.0,1417773703.86,e0509a4e-9842-3c73-8050-875b6383c097
footprint.my_carbon.no_air,5481828788f663769f32d9a5,0.0,1417773703.86,e0509a4e-9842-3c73-8050-875b6383c097
footprint.optimal,5481828788f663769f32d9a6,0.0,1417773703.86,e0509a4e-9842-3c73-8050-875b6383c097
footprint.optimal.no_air,5481828788f663769f32d9a7,0.0,1417773703.86,e0509a4e-9842-3c73-8050-875b6383c097
footprint.alldrive,5481828788f663769f32d9a8,0.0,1417773703.86,e0509a4e-9842-3c73-8050-875b6383c097
footprint.mean,5481828788f663769f32d9a9,16.3689600878,1417773703.86,e0509a4e-9842-3c73-8050-875b6383c097
footprint.mean.no_air,5481828788f663769f32d9aa,16.3689600878,1417773703.86,e0509a4e-9842-3c73-8050-875b6383c097
footprint.my_carbon,5481828e88f663769f32d9ab,0.0,1417773710.64,bbd4e1ad-bd2d-3126-a58c-2c2fe1895fba
footprint.my_carbon.no_air,5481828e88f663769f32d9ac,0.0,1417773710.64,bbd4e1ad-bd2d-3126-a58c-2c2fe1895fba
footprint.optimal,5481828e88f663769f32d9ad,0.0,1417773710.64,bbd4e1ad-bd2d-3126-a58c-2c2fe1895fba
footprint.optimal.no_air,5481828e88f663769f32d9ae,0.0,1417773710.64,bbd4e1ad-bd2d-3126-a58c-2c2fe1895fba
footprint.alldrive,5481828e88f663769f32d9af,0.0,1417773710.64,bbd4e1ad-bd2d-3126-a58c-2c2fe1895fba
footprint.mean,5481828e88f663769f32d9b0,16.3689600878,1417773710.64,bbd4e1ad-bd2d-3126-a58c-2c2fe1895fba
footprint.mean.no_air,5481828e88f663769f32d9b1,16.3689600878,1417773710.64,bbd4e1ad-bd2d-3126-a58c-2c2fe1895fba
game.score,5481829588f663769f32d9b2,80.0,1417773717.57,6a488797-5be1-38aa-9700-5532be978ff9
footprint.my_carbon,5481829c88f663769f32d9b3,0.0,1417773724.36,972dcb3a-78b5-3f66-9677-451c458ff261
footprint.my_carbon.no_air,5481829c88f663769f32d9b4,0.0,1417773724.36,972dcb3a-78b5-3f66-9677-451c458ff261
footprint.optimal,5481829c88f663769f32d9b5,0.0,1417773724.36,972dcb3a-78b5-3f66-9677-451c458ff261
footprint.optimal.no_air,5481829c88f663769f32d9b6,0.0,1417773724.36,972dcb3a-78b5-3f66-9677-451c458ff261
footprint.alldrive,5481829c88f663769f32d9b7,0.0,1417773724.36,972dcb3a-78b5-3f66-9677-451c458ff261
footprint.mean,5481829c88f663769f32d9b8,16.3689600878,1417773724.36,972dcb3a-78b5-3f66-9677-451c458ff261
footprint.mean.no_air,5481829c88f663769f32d9b9,16.3689600878,1417773724.36,972dcb3a-78b5-3f66-9677-451c458ff261
footprint.my_carbon,548182a388f663769f32d9ba,0.0,1417773731.34,38a2e9de-1249-3794-819c-166e3054898d
footprint.my_carbon.no_air,548182a388f663769f32d9bb,0.0,1417773731.34,38a2e9de-1249-3794-819c-166e3054898d
footprint.optimal,548182a388f663769f32d9bc,0.0,1417773731.34,38a2e9de-1249-3794-819c-166e3054898d
footprint.optimal.no_air,548182a388f663769f32d9bd,0.0,1417773731.34,38a2e9de-1249-3794-819c-166e3054898d
footprint.alldrive,548182a388f663769f32d9be,0.0,1417773731.34,38a2e9de-1249-3794-819c-166e3054898d
footprint.mean,548182a388f663769f32d9bf,16.3689600878,1417773731.34,38a2e9de-1249-3794-819c-166e3054898d
footprint.mean.no_air,548182a388f663769f32d9c0,16.3689600878,1417773731.34,38a2e9de-1249-3794-819c-166e3054898d
footprint.my_carbon,548182aa88f663769f32d9c1,0.0,1417773738.14,5322f635-a82c-3677-a1a4-5c26804a90b7
footprint.my_carbon.no_air,548182aa88f663769f32d9c2,0.0,1417773738.14,5322f635-a82c-3677-a1a4-5c26804a90b7
footprint.optimal,548182aa88f663769f32d9c3,0.0,1417773738.14,5322f635-a82c-3677-a1a4-5c26804a90b7
footprint.optimal.no_air,548182aa88f663769f32d9c4,0.0,1417773738.14,5322f635-a82c-3677-a1a4-5c26804a90b7
footprint.alldrive,548182aa88f663769f32d9c5,0.0,1417773738.14,5322f635-a82c-3677-a1a4-5c26804a90b7
footprint.mean,548182aa88f663769f32d9c6,16.3689600878,1417773738.14,5322f635-a82c-3677-a1a4-5c26804a90b7
footprint.mean.no_air,548182aa88f663769f32d9c7,16.3689600878,1417773738.14,5322f635-a82c-3677-a1a4-5c26804a90b7
footprint.my_carbon,548182b088f663769f32d9c8,0.0,1417773744.94,6eff56da-f307-3725-b289-8b841e8b1c05
footprint.my_carbon.no_air,548182b088f663769f32d9c9,0.0,1417773744.94,6eff56da-f307-3725-b289-8b841e8b1c05
footprint.optimal,548182b088f663769f32d9ca,0.0,1417773744.94,6eff56da-f307-3725-b289-8b841e8b1c05
footprint.optimal.no_air,548182b088f663769f32d9cb,0.0,1417773744.94,6eff56da-f307-3725-b289-8b841e8b1c05
footprint.alldrive,548182b088f663769f32d9cc,0.0,1417773744.94,6eff56da-f307-3725-b289-8b841e8b1c05
footprint.mean,548182b088f663769f32d9cd,16.3689600878,1417773744.94,6eff56da-f307-3725-b289-8b841e8b1c05
footprint.mean.no_air,548182b088f663769f32d9ce,16.3689600878,1417773744.94,6eff56da-f307-3725-b289-8b841e8b1c05
footprint.my_carbon,548182b788f663769f32d9cf,0.0,1417773751.73,4f065f3f-ec0d-3541-aa19-197b901d1d9c
footprint.my_carbon.no_air,548182b788f663769f32d9d0,0.0,1417773751.73,4f065f3f-ec0d-3541-aa19-197b901d1d9c
footprint.optimal,548182b788f663769f32d9d1,0.0,1417773751.73,4f065f3f-ec0d-3541-aa19-197b901d1d9c
footprint.optimal.no_air,548182b788f663769f32d9d2,0.0,1417773751.73,4f065f3f-ec0d-3541-aa19-197b901d1d9c
footprint.alldrive,548182b788f663769f32d9d3,0.0,1417773751.73,4f065f3f-ec0d-3541-aa19-197b901d1d9c
footprint.mean,548182b788f663769f32d9d4,16.3689600878,1417773751.73,4f065f3f-ec0d-3541-aa19-197b901d1d9c
footprint.mean.no_air,548182b788f663769f32d9d5,16.3689600878,1417773751.73,4f065f3f-ec0d-3541-aa19-197b901d1d9c
footprint.my_carbon,548182be88f663769f32d9d6,0.0,1417773758.54,8184b253-df6f-3f0b-aac4-54d65a368110
footprint.my_carbon.no_air,548182be88f663769f32d9d7,0.0,1417773758.54,8184b253-df6f-3f0b-aac4-54d65a368110
footprint.optimal,548182be88f663769f32d9d8,0.0,1417773758.54,8184b253-df6f-3f0b-aac4-54d65a368110
footprint.optimal.no_air,548182be88f663769f32d9d9,0.0,1417773758.54,8184b253-df6f-3f0b-aac4-54d65a368110
footprint.alldrive,548182be88f663769f32d9da,0.0,1417773758.54,8184b253-df6f-3f0b-aac4-54d65a368110
footprint.mean,548182be88f663769f32d9db,16.3689600878,1417773758.54,8184b253-df6f-3f0b-aac4-54d65a368110
footprint.mean.no_air,548182be88f663769f32d9dc,16.3689600878,1417773758.54,8184b253-df6f-3f0b-aac4-54d65a368110
footprint.my_carbon,548182c588f663769f32d9dd,0.0,1417773765.33,b4b880be-ad19-37c5-8c71-42f090490133
footprint.my_carbon.no_air,548182c588f663769f32d9de,0.0,1417773765.33,b4b880be-ad19-37c5-8c71-42f090490133
footprint.optimal,548182c588f663769f32d9df,0.0,1417773765.33,b4b880be-ad19-37c5-8c71-42f090490133
footprint.optimal.no_air,548182c588f663769f32d9e0,0.0,1417773765.33,b4b880be-ad19-37c5-8c71-42f090490133
footprint.alldrive,548182c588f663769f32d9e1,0.0,1417773765.33,b4b880be-ad19-37c5-8c71-42f090490133
footprint.mean,548182c588f663769f32d9e2,16.3689600878,1417773765.33,b4b880be-ad19-37c5-8c71-42f090490133
footprint.mean.no_air,548182c588f663769f32d9e3,16.3689600878,1417773765.33,b4b880be-ad19-37c5-8c71-42f090490133
footprint.my_carbon,548182cc88f663769f32d9e4,0.0,1417773772.11,7adee045-17bb-3fa6-8f45-ae833c761056
footprint.my_carbon.no_air,548182cc88f663769f32d9e5,0.0,1417773772.11,7adee045-17bb-3fa6-8f45-ae833c761056
footprint.optimal,548182cc88f663769f32d9e6,0.0,1417773772.11,7adee045-17bb-3fa6-8f45-ae833c761056
footprint.optimal.no_air,548182cc88f663769f32d9e7,0.0,1417773772.11,7adee045-17bb-3fa6-8f45-ae833c761056
