stat,_id,reading,client_ts,user
POST /tripManager/getUnclassifiedSections,5480c45c88f66363b243299d,0.192780971527,1417725020.54,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /tripManager/getUnclassifiedSections,5480c49088f66363e2a5b827,0.203900098801,1417725072.8,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /tripManager/getUnclassifiedSections,5480c4b088f66363f9f62bbc,0.210104942322,1417725104.51,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /tripManager/getUnclassifiedSections,5480c4d488f663645696ad92,0.196128129959,1417725140.56,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /tripManager/getUnclassifiedSections,5480c4ef88f663646decc59b,0.189722061157,1417725167.84,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /tripManager/getUnclassifiedSections,5480c51088f6636484130b0f,0.206090927124,1417725200.17,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
tripManager.pctShown,5480c52288f663649ac20ce2,0.909090909091,1417725218.01,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /tripManager/getUnclassifiedSections,5480c52288f663649ac20ce3,0.369289159775,1417725218.17,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
tripManager.pctShown,5480c52888f663649ac20ce4,0.875,1417725224.46,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /tripManager/getUnclassifiedSections,5480c52888f663649ac20ce5,0.267522096634,1417725224.54,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /compare,5480c53688f663649ac20ce6,0.0827791690826,1417725238.72,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
GET /clients/choice/front/ionic.bundle.js,5480c53688f663649ac20ce7,0.000872135162354,1417725238.95,
GET /clients/choice/front/ionic.min.css,5480c53788f663649ac20ce8,0.000694990158081,1417725239.31,
GET /clients/choice/front/ionic-tabs-myapp.js,5480c53788f663649ac20ce9,0.000684976577759,1417725239.4,
GET /clients/choice/front/ionicons.ttf,5480c53888f663649ac20cea,0.000687837600708,1417725240.13,
GET /clients/gamified/front/d3.js,5480c53888f663649ac20ceb,0.000672817230225,1417725240.17,
GET /clients/gamified/front/bullet.js,5480c53888f663649ac20cec,0.000936985015869,1417725240.48,
GET /clients/gamified/front/client.gamified.display.js,5480c53888f663649ac20ced,0.000709056854248,1417725240.57,
GET /clients/gamified/front/level_1_5.png,5480c53988f663649ac20cee,0.000663995742798,1417725241.06,
POST /compare,5480c74688f663649ac20cef,0.0927920341492,1417725766.24,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /tripManager/setSectionClassification,5480c74688f663649ac20cf0,0.351965904236,1417725766.4,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
tripManager.pctShown,5480c74988f663649ac20cf1,0.0,1417725769.99,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /tripManager/getUnclassifiedSections,5480c74a88f663649ac20cf2,0.257537841797,1417725770.05,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
GET /client/pre-register,5480c88888f663649ac20cf3,0.00708818435669,1417726088.25,
GET /,5480c89288f663649ac20cf4,0.000571012496948,1417726098.34,
GET /front/nv.d3.css,5480c89288f663649ac20cf5,0.000603914260864,1417726098.47,
GET /front/nv.d3.utils.js,5480c89288f663649ac20cf6,0.00056004524231,1417726098.59,
GET /front/nv.d3.min.js,5480c89288f663649ac20cf7,0.00054407119751,1417726098.84,
GET /front/app_store_badge.png,5480c89288f663649ac20cf8,0.00050687789917,1417726098.85,
GET /front/nv.d3.models.pieChart.js,5480c89288f663649ac20cf9,0.00050687789917,1417726098.93,
GET /front/cfc.display.js,5480c89388f663649ac20cfa,0.000526905059814,1417726099.02,
GET /favicon.ico,5480c89488f663649ac20cfb,0.000236034393311,1417726100.28,
GET /result/carbon/all/summary,5480c89588f663649ac20cfc,1.5363380909,1417726101.81,
tripManager.pctShown,5480c98c88f663649ac20cfd,0.0,1417726348.94,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
POST /tripManager/getUnclassifiedSections,5480c98d88f663649ac20cfe,0.247060060501,1417726349.0,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
tripManager.pctShown,5480cbbe88f663649ac20cff,0.0877192982456,1417726910.22,8fea63f7-1f4a-382f-b710-118568652329
POST /stats/set,5480cbbf88f663649ac20d0f,0.0863451957703,1417726911.15,8fea63f7-1f4a-382f-b710-118568652329
POST /tripManager/getUnclassifiedSections,5480cbbe88f663649ac20d00,0.218880176544,1417726910.27,8fea63f7-1f4a-382f-b710-118568652329
POST /compare,5480cce788f663649ac20d10,0.0769519805908,1417727207.43,428ad63d-023d-3a67-80d9-2214f04f89c4
GET /clients/choice/front/ionic.min.css,5480cce888f663649ac20d11,0.000632047653198,1417727208.58,
GET /clients/choice/front/ionic-tabs-myapp.js,5480cce888f663649ac20d12,0.000431060791016,1417727208.67,
GET /clients/choice/front/ionic.bundle.js,5480cce888f663649ac20d13,0.000411987304688,1417727208.76,
GET /clients/choice/front/ionicons.ttf,5480cce988f663649ac20d14,0.000635862350464,1417727209.74,
POST /compare,5480cced88f663649ac20d15,0.0774641036987,1417727213.98,428ad63d-023d-3a67-80d9-2214f04f89c4
GET /front/cfc.display.css,5480ccee88f663649ac20d16,0.000578165054321,1417727214.51,
GET /front/nv.d3.css,5480ccee88f663649ac20d17,0.003084897995,1417727214.52,
GET /front/nv.d3.min.js,5480ccee88f663649ac20d18,0.00105381011963,1417727214.52,
GET /front/cfc.display.js,5480ccee88f663649ac20d19,0.000324964523315,1417727214.63,
GET /front/cfc.compare.js,5480ccee88f663649ac20d1a,0.000320911407471,1417727214.73,
GET /front/nv.d3.utils.js,5480ccee88f663649ac20d1b,0.000319004058838,1417727214.78,
GET /front/nv.d3.models.pieChart.js,5480ccee88f663649ac20d1c,0.000348091125488,1417727214.87,
GET /front/bullet.js,5480ccee88f663649ac20d1d,0.000319957733154,1417727214.96,
GET /client/choice/switchResultDisplay,5480ccf788f663649ac20d1f,0.00591778755188,1417727223.29,
GET /clients/gamified/front/d3.js,5480ccf788f663649ac20d20,0.0010769367218,1417727223.58,
GET /clients/gamified/front/bullet.js,5480ccf788f663649ac20d21,0.00147294998169,1417727223.58,
GET /clients/gamified/front/client.gamified.display.js,5480ccf788f663649ac20d22,0.00178289413452,1417727223.58,
GET /clients/gamified/front/level_2_1.png,5480ccf988f663649ac20d23,0.000608921051025,1417727225.18,
GET /client/choice/switchResultDisplay,5480cd0188f663649ac20d25,0.00503492355347,1417727233.33,
GET /front/cfc.display.css,5480cd0188f663649ac20d26,0.000339031219482,1417727233.64,
tripManager.pctShown,5480cd7988f663649ac20d27,0.211267605634,1417727353.89,e0509a4e-9842-3c73-8050-875b6383c097
POST /tripManager/getUnclassifiedSections,5480cd7988f663649ac20d28,0.336467981339,1417727353.98,e0509a4e-9842-3c73-8050-875b6383c097
